id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,total_points,event_points,points_per_game,form,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,price_change_percent,cost_change_event_fall,cost_change_start_fall,status,chance_of_playing_next_round,news,news_added,ep_this,ep_next,team_join_date,birth_date
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,55,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,46,141,46,141,-51.6,0,0,a,,,,2.0,2.0,2022-06-21,2000-05-30
24,Nelson,Reiss,Nelson,1,3,55,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,42,104,42,104,-35.3,0,0,a,,,,2.0,2.0,2017-07-12,1999-12-10
25,Gyökeres,Viktor,Gyökeres,1,4,75,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,7.7,5816,139345,5816,139345,-97.4,0,0,a,,,,2.4,2.4,2025-07-26,1998-06-04
26,Havertz,Kai,Havertz,1,4,75,0,0,6,6,6.0,6.0,90,1,1,0,1,0,0,0,0,0,34,0.26,0.03,0.29,0.20,2,6.9,119529,18787,119529,18787,52.0,0,0,a,,,,2.4,2.4,2023-06-28,1999-06-11
27,G.Jesus,Gabriel,Fernando de Jesus,1,4,60,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.3,1216,4549,1216,4549,-54.6,0,0,a,,,,2.0,2.0,2022-07-04,1997-04-03
31,Konsa,Ezri,Konsa Ngoyo,1,2,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,11.5,27605,149325,27605,149325,-57.8,0,0,a,,,,1.7,1.7,2026-08-21,1997-10-23
452,Bruno G.,Bruno,Guimarães Rodriguez Moura,1,3,70,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,3.3,563,77661,563,77661,-73.3,0,0,d,75,Thigh injury - 75% chance of playing,2026-08-20T17:00:08.846118Z,1.8,1.8,2026-08-08,1997-11-16
557,Tzolis,Christos,Tzolis,1,3,65,0,0,6,6,6.0,6.0,75,1,0,1,1,0,0,0,0,0,30,0.19,0.14,0.33,0.06,6,25.7,142995,26754,142995,26754,61.5,0,0,a,,,,2.3,2.3,2026-07-23,2002-01-30
28,Martinez,Emiliano,Martínez Romero,2,1,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,4.2,5357,33168,5357,33168,-33.4,0,0,a,,,,2.6,2.6,2020-09-16,1992-09-02
29,M.Bizot,Marco,Bizot,2,1,45,0,0,1,1,1.0,1.0,90,1,0,0,0,4,0,0,3,0,1,0.00,0.00,0.00,3.77,0,0.1,455,449,455,449,0.0,0,0,a,,,,1.9,1.9,2025-07-15,1991-03-10
30,Digne,Lucas,Digne,2,2,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,0,3711,0,3711,0.0,0,0,u,0,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,0.0,0.0,2022-01-13,1993-07-20
32,Cash,Matty,Cash,2,2,45,0,0,-1,-1,-1.0,-1.0,90,1,0,0,0,4,1,0,0,0,-8,0.00,0.00,0.00,3.77,7,8.2,23199,61440,23199,61440,-19.1,0,0,a,,,,1.7,1.7,2020-09-03,1997-08-07
33,Mings,Tyrone,Mings,2,2,45,0,0,1,1,1.0,1.0,16,0,0,0,0,0,0,0,0,0,5,0.00,0.00,0.00,0.22,1,0.4,2555,2063,2555,2063,0.4,0,0,a,,,,1.7,1.7,2019-07-08,1993-03-13
34,Pau,Pau,Torres,2,2,45,0,0,0,0,0.0,0.0,73,1,0,0,0,4,0,0,0,0,-14,0.00,0.00,0.00,3.55,5,0.5,1553,2856,1553,2856,-11.8,0,0,a,,,,1.7,1.7,2023-07-12,1997-01-16
35,Bogarde,Lamare,Bogarde,2,3,50,0,0,1,1,1.0,1.0,16,0,0,0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.22,1,0.1,471,541,471,541,-0.6,0,0,a,,,,1.5,1.5,2021-01-07,2004-01-05
36,Maatsen,Ian,Maatsen,2,2,45,0,0,0,0,0.0,0.0,81,1,0,0,0,4,0,0,0,0,-9,0.03,0.00,0.03,3.62,9,0.8,2022,5184,2022,5184,-17.6,0,0,a,,,,1.7,1.7,2024-06-28,2002-03-10
37,Lindelöf,Victor,Lindelöf,2,2,45,0,0,-2,-2,-2.0,-2.0,90,1,0,0,0,4,0,0,0,0,-13,0.00,0.00,0.00,3.77,3,0.3,1410,2359,1410,2359,-14.2,0,0,a,,,,1.7,1.7,2025-09-01,1994-07-17
38,A.García,Andrés,García,2,2,40,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1.7,4941,8371,4941,8371,-5.6,0,0,a,,,,1.0,1.0,,
39,Nedeljkovic,Kosta,Nedeljkovic,2,2,40,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.3,0,4707,0,4707,0.0,0,0,u,0,Has joined Rangers on loan for the rest of the season,2026-08-19T13:56:46.385411Z,0.0,0.0,2024-01-22,2005-12-16
41,Buendía,Emiliano,Buendía Stati,2,3,60,0,0,2,2,2.0,2.0,85,1,0,0,0,4,0,0,0,0,4,0.13,0.09,0.22,3.62,7,1.3,3337,11362,3337,11362,-31.3,0,0,a,,,,2.2,2.2,2021-06-10,1996-12-25
44,Bailey,Leon,Bailey,2,3,55,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.2,686,1585,686,1585,-28.5,0,0,a,,,,2.0,2.0,2021-08-04,1997-08-09
45,McGinn,John,McGinn,2,3,55,0,0,1,1,1.0,1.0,81,1,0,0,0,4,1,0,0,0,8,0.04,0.01,0.05,3.62,6,3.0,5237,24753,5237,24753,-31.4,0,0,a,,,,2.0,2.0,2018-08-08,1994-10-18
46,Barkley,Ross,Barkley,2,3,50,0,0,2,2,2.0,2.0,73,1,0,0,0,4,0,0,0,0,11,0.10,0.02,0.12,3.55,1,0.2,1199,1499,1199,1499,-2.7,0,0,a,,,,1.5,1.5,2024-07-01,1993-12-05
47,Kamara,Boubacar,Kamara,2,3,50,0,0,2,2,2.0,2.0,90,1,0,0,0,4,0,0,0,0,9,0.00,0.00,0.00,3.77,7,0.4,1753,2897,1753,2897,-12.2,0,0,a,100,,2026-07-23T12:01:23.337269Z,1.5,1.5,2022-06-11,1999-11-23
48,Onana,Amadou,Onana,2,3,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,102,369,102,369,-22.4,0,0,i,0,Knee injury - Unknown return date,2026-07-23T12:01:23.352497Z,0.0,0.0,2024-07-22,2001-08-16
49,Iling Jr,Samuel,Iling-Junior,2,3,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0,92,0,92,0.0,0,0,u,0,Has joined Bolton Wanderers on loan for the rest of the season,2026-08-17T13:52:28.532616Z,0.0,0.0,2024-07-01,2003-10-04
50,Burrowes,Bradley,Burrowes,2,3,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.7,2326,4083,2326,4083,-8.1,0,0,a,,,,1.0,1.0,2025-01-09,2008-03-04
51,George Hemmings,George,Hemmings,2,3,45,0,0,2,2,2.0,2.0,90,1,0,0,0,4,0,0,0,0,12,0.00,0.00,0.00,3.77,5,0.7,4163,2907,4163,2907,0.6,0,0,a,,,,1.0,1.0,2025-08-05,2007-03-04
52,Alysson,Alysson Edward Franco,da Rocha dos Santos,2,3,50,0,0,1,1,1.0,1.0,8,0,0,0,0,0,0,0,0,0,5,0.00,0.00,0.00,0.14,3,0.0,250,358,250,358,-5.9,0,0,a,,,,1.5,1.5,2026-01-01,2006-05-05
53,Manzambi,Johan,Manzambi,2,3,60,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.2,167,6212,167,6212,-56.3,0,0,i,0,Knee injury - Unknown return date,2026-08-15T15:30:06.388335Z,0.0,0.0,2026-07-17,2005-10-14
54,Gomes,Joao,Gomes,2,3,55,0,0,-2,-2,-2.0,-2.0,39,1,0,0,0,4,0,1,0,0,-2,0.00,0.01,0.01,2.58,7,0.1,96,1223,96,1223,-0.0,0,0,s,0,Suspended until 19 Sep,2026-08-23T17:30:08.367415Z,0.0,0.0,2026-07-20,2001-02-12
55,Watkins,Ollie,Watkins,2,4,80,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,9.2,8253,125705,8253,125705,-71.0,0,0,a,,,,2.5,2.5,2020-09-09,1995-12-30
56,Abraham,Tammy,Abraham,2,4,55,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,367,1498,367,1498,-28.2,0,0,d,75,Knock - 75% chance of playing,2026-08-15T16:00:07.558543Z,1.3,1.3,2026-01-27,1997-10-02
160,Garnacho,Alejandro,Garnacho Ferreyra,2,3,60,0,0,1,1,1.0,1.0,4,0,0,0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.14,0,0.6,1488,5949,1488,5949,-37.7,0,0,a,,,,2.2,2.2,2026-07-23,2004-07-01
582,Madjo,Brian,Madjo,2,4,55,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.5,899,5000,899,5000,0.0,0,0,i,0,Unspecified injury - Unknown return date,2026-08-15T16:00:07.974271Z,0.0,0.0,2026-01-12,2009-01-12
596,Ruggeri,Matteo,Ruggeri,2,2,45,0,0,1,1,1.0,1.0,8,0,0,0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.14,2,0.1,655,636,655,636,0.0,0,0,a,,,,1.7,1.7,2026-08-19,2002-07-11
597,Suzuki,Zion,Suzuki,2,1,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.8,2628,3766,2628,3766,0.0,0,0,a,,,,2.6,2.6,2026-08-19,2002-08-21
606,Rowe,Triston,Rowe,2,2,40,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,837,119,837,119,0.0,0,0,a,,,,1.0,1.0,,
607,Lynch,Luka,Lynch,2,3,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,2263,385,2263,385,0.0,0,0,a,,,,1.0,1.0,,
611,Wan-Bissaka,Aaron,Wan-Bissaka,2,2,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,60,3,60,3,0.0,0,0,a,,,,1.7,1.7,2026-08-21,1997-11-26
57,Petrović,Đorđe,Petrović,3,1,45,0,0,2,2,2.0,2.0,90,1,0,0,0,2,0,0,4,0,13,0.00,0.00,0.00,2.25,0,3.3,12534,6879,12534,6879,2.3,0,0,a,,,,1.9,1.9,2025-07-16,1999-10-08
58,Forster,Fraser,Forster,3,1,40,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,3.2,4969,5622,4969,5622,-0.5,0,0,a,,,,1.0,1.0,2026-01-02,1988-03-17
59,Dennis,Will,Dennis,3,1,40,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.2,811,481,811,481,0.1,0,0,a,,,,1.0,1.0,2019-08-01,2000-07-10
60,Hill,James,Hill,3,2,55,0,0,1,1,1.0,1.0,90,1,0,0,0,2,0,0,0,0,0,0.00,0.00,0.00,2.25,6,0.9,5007,3723,5007,3723,0.9,0,0,a,,,,2.5,2.5,2022-01-05,2002-01-10
61,Truffert,Adrien,Truffert,3,2,55,0,0,1,1,1.0,1.0,90,1,0,0,0,2,0,0,0,0,0,0.00,0.00,0.00,2.25,7,4.3,11848,13903,11848,13903,-0.0,0,0,a,,,,2.5,2.5,2025-06-16,2001-11-20
62,Diakité,Bafodé,Diakité,3,2,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.2,1950,1453,1950,1453,0.4,0,0,a,,,,2.2,2.2,2025-08-13,2001-01-06
63,Milosavljević,Veljko,Milosavljevic,3,2,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,53,197,53,197,-25.2,0,0,i,0,Unspecified injury - Unknown return date,2026-08-06T10:00:10.456051Z,0.0,0.0,2025-09-01,2007-06-28
64,Smith,Adam,Smith,3,2,45,0,0,1,1,1.0,1.0,90,1,0,0,0,2,0,0,0,0,4,0.00,0.00,0.00,2.25,5,0.1,1474,536,1474,536,0.5,0,0,a,,,,1.7,1.7,2014-01-28,1991-04-29
65,J.Araujo,Julián,Araujo Zúñiga,3,2,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,67,350,67,350,-32.8,0,0,i,0,Thigh injury - Unknown return date,2026-08-09T08:00:05.645826Z,0.0,0.0,2024-08-13,2001-08-13
66,Soler,Julio,Soler Barreto,3,2,40,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.2,257,1566,257,1566,-16.1,0,0,d,75,Hamstring injury - 75% chance of playing,2026-08-15T16:30:07.021055Z,0.8,0.8,2025-01-07,2005-02-16
67,Rayan,Rayan Vitor,Simplício Rocha,3,3,65,0,0,2,2,2.0,2.0,88,1,0,0,0,1,0,0,0,0,9,0.04,0.03,0.07,2.06,1,2.8,13324,12335,13324,12335,1.3,0,0,a,,,,2.3,2.3,2026-01-27,2006-08-03
68,Tavernier,Marcus,Tavernier,3,3,60,0,0,10,10,10.0,10.0,90,1,1,0,0,2,0,0,0,3,32,0.40,0.08,0.48,2.25,8,2.0,38932,5850,38932,5850,15.1,0,0,a,,,,2.2,2.2,2022-08-01,1999-03-22
69,Scott,Alex,Scott,3,3,60,0,0,2,2,2.0,2.0,90,1,0,0,0,2,0,0,0,0,17,0.00,0.01,0.01,2.25,11,1.5,4608,7281,4608,7281,-6.5,0,0,a,,,,2.2,2.2,2023-08-10,2003-08-21
70,Kluivert,Justin,Kluivert,3,3,60,0,0,3,3,3.0,3.0,74,1,0,0,1,0,0,0,0,0,15,0.11,0.00,0.11,1.94,9,1.2,8015,5171,8015,5171,1.7,0,0,a,,,,2.2,2.2,2023-07-01,1999-05-05
71,Cook,Lewis,Cook,3,3,50,0,0,3,3,3.0,3.0,75,1,0,0,1,0,0,0,0,0,8,0.00,0.00,0.00,1.94,7,0.2,1719,949,1719,949,0.4,0,0,a,,,,1.5,1.5,2016-07-08,1997-02-03
72,Gannon-Doak,Ben,Gannon-Doak,3,3,50,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,3,0.00,0.00,0.00,0.19,1,0.1,249,513,249,513,-12.1,0,0,a,,,,1.5,1.5,2025-08-18,2005-11-11
73,Adams,Tyler,Adams,3,3,50,0,0,1,1,1.0,1.0,15,0,0,0,0,2,0,0,0,0,4,0.00,0.00,0.00,0.31,3,0.2,1618,1942,1618,1942,-4.3,0,0,a,100,,2026-08-15T16:30:07.029928Z,1.1,1.5,2023-08-20,1999-02-14
74,Brooks,David,Brooks,3,3,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,271,438,271,438,-15.8,0,0,a,100,,2026-08-15T16:30:07.037929Z,1.1,1.5,2018-07-01,1997-07-08
75,Christie,Ryan,Christie,3,3,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,264,111,264,111,0.0,0,0,a,100,,2026-07-24T17:30:10.035483Z,0.0,1.5,2021-08-31,1995-02-22
76,Tóth.A,Alex,Tóth,3,3,50,0,0,1,1,1.0,1.0,15,0,0,0,0,2,0,0,0,0,5,0.00,0.00,0.00,0.31,2,0.0,64,84,64,84,-4.2,0,0,a,,,,1.5,1.5,2026-01-20,2005-10-23
77,Adli,Amine,Adli,3,3,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,31,690,31,690,-50.0,0,0,i,0,Unspecified injury - Unknown return date,2026-08-15T16:00:07.590566Z,0.0,0.0,2025-08-21,2000-05-10
78,Kroupi.Jr,Junior,Kroupi,3,3,75,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.4,335,9066,335,9066,-49.6,0,0,i,0,Foot injury - Unknown return date,2026-07-29T17:30:09.796802Z,0.0,0.0,2025-02-02,2006-06-23
79,Evanilson,Francisco Evanilson,de Lima Barbosa,3,4,60,0,0,4,4,4.0,4.0,74,1,0,1,1,0,1,0,0,0,17,0.00,0.21,0.21,1.94,8,2.7,36395,9528,36395,9528,13.3,0,0,a,,,,2.0,2.0,2024-08-16,1999-10-06
80,Enes Ünal,Enes,Ünal,3,4,55,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0,737,0,737,0.0,0,0,u,0,Has joined Getafe permanently,2026-08-14T14:14:21.881112Z,0.0,0.0,2024-07-01,1997-05-10
81,Rodríguez,Álvaro,Rodríguez,3,4,60,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,521,749,521,749,-9.8,0,0,a,100,,2026-08-15T16:30:07.054142Z,1.5,2.0,2026-07-14,2004-07-14
566,Silva,António João,Pereira de Albuquerque Tavares da Silva,3,2,50,0,0,2,2,2.0,2.0,90,1,0,0,0,2,1,0,0,0,5,0.00,0.00,0.00,2.25,13,0.3,3480,1092,3480,1092,1.2,0,0,a,,,,2.2,2.2,2026-08-01,2003-10-30
573,Sanchez,Juanlu,Sánchez,3,2,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.2,334,794,334,794,-8.9,0,0,a,,,,1.7,1.7,2026-08-06,2003-08-15
608,Jebbison,Daniel,Jebbison,3,4,50,0,0,1,1,1.0,1.0,15,0,0,0,0,2,0,0,0,0,6,0.10,0.00,0.10,0.31,1,0.0,1059,159,1059,159,0.0,0,0,a,,,,1.4,1.4,,
82,Kelleher,Caoimhín,Kelleher,4,1,50,0,0,7,7,7.0,7.0,90,1,0,0,1,0,0,0,4,0,34,0.00,0.01,0.01,0.57,0,6.3,43141,9444,43141,9444,12.9,0,0,a,,,,2.6,2.6,2025-06-03,1998-11-23
83,Valdimarsson,Hákon Rafn,Valdimarsson,4,1,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,370,485,370,485,-6.1,0,0,a,,,,1.9,1.9,2024-01-26,2001-10-13
84,Collins,Nathan,Collins,4,2,55,0,0,6,6,6.0,6.0,90,1,0,0,1,0,0,0,0,0,21,0.34,0.04,0.38,0.57,3,2.0,14418,4627,14418,4627,4.9,0,0,a,,,,2.5,2.5,2023-07-04,2001-04-30
85,Van den Berg,Sepp,van den Berg,4,2,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,107,2788,107,2788,-44.4,0,0,i,0,Groin injury - Unknown return date,2026-08-15T15:30:06.416627Z,0.0,0.0,2024-08-22,2001-12-20
86,Lewis-Potter,Keane,Lewis-Potter,4,3,55,0,0,10,10,10.0,10.0,90,1,1,0,1,0,0,0,0,2,37,0.77,0.12,0.89,0.57,10,0.8,23217,3375,23217,3375,9.8,0,0,a,,,,2.0,2.0,2022-07-12,2001-02-22
87,Ajer,Kristoffer,Ajer,4,2,45,0,0,8,8,8.0,8.0,90,1,0,0,1,0,0,0,0,0,29,0.11,0.02,0.13,0.57,10,3.8,31135,5897,31135,5897,11.3,0,0,a,,,,1.7,1.7,2021-07-21,1998-04-17
88,Kayode,Michael,Kayode,4,2,45,0,0,13,13,13.0,13.0,75,1,1,0,1,0,0,0,0,1,36,0.50,0.00,0.50,0.47,4,5.8,195572,9529,195572,9529,86.0,0,0,a,,,,1.7,1.7,2025-07-01,2004-07-10
89,Henry,Rico,Henry,4,2,45,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.3,383,1243,383,1243,-15.2,0,0,a,,,,1.7,1.7,2016-08-31,1997-07-08
90,Hickey,Aaron,Hickey,4,2,45,0,0,1,1,1.0,1.0,14,0,0,0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.10,0,0.1,353,319,353,319,0.0,0,0,a,,,,1.7,1.7,2022-07-09,2002-06-10
